variable,unit,definition,dtype,rows,missing,minimum,maximum
pixel,identifier,Zero-based index of the candidate location; links to the packaged candidate-location archive.,int64,43797,0,0.0,5876.0
year,calendar year,"Observation year, 2001–2024.",int64,43797,0,2001.0,2024.0
lon,degrees east,"Longitude of the sampled 0.05-degree export cell center, EPSG:4326.",float64,43797,0,76.07534798849183,133.82561215326874
lat,degrees north,"Latitude of the sampled 0.05-degree export cell center, EPSG:4326.",float64,43797,0,23.72510852483692,53.22524346615153
zone,category code,Supplied climate-zone code: 1 MTA; 2 MTH; 3 MTSA; 4 MTSH; 5 NSH; 6 PTSA; 7 WTSH.,int64,43797,0,1.0,7.0
igbp,category code,Modal IGBP cover: 3 deciduous needleleaf forest; 4 deciduous broadleaf forest; 5 mixed forest; 10 grassland in the common main panel.,int64,43797,0,3.0,10.0
area_km2,km2,Geodesic area of the sampled export cell; weights are normalized by their mean in estimation.,float64,43797,0,18.581980940769196,28.233129398412704
A,days,Reference main-quality SOS minus annual SOS; positive means earlier fluorescence onset.,float32,43797,0,-70.66666412353516,61.409088134765625
E_I,mm,Total modeled evaporation E. Observed signed flux integrated from annual SOS to reference POS.,float64,43797,0,5.725464126404404,364.49342924322264
E_K,mm,"Total modeled evaporation E. Auxiliary all-year reference-curve integral over the same dates as I, including the focal year. The main manuscript uses K_loo.",float64,43797,0,4.473135162046674,322.75493168252433
E_R,mm,Total modeled evaporation E. Auxiliary I minus K using the all-year curve. The main manuscript uses R_loo.,float64,43797,0,-83.93773573929866,85.49412590265274
E_K_loo,mm,Total modeled evaporation E. Leave-one-year-out reference-curve integral from annual SOS to reference POS; K in the main manuscript.,float64,43797,0,4.418686134595191,320.94021297828294
E_R_loo,mm,"Total modeled evaporation E. I minus K_loo; R in the main manuscript. A water-depth anomaly integral, not an identified physiological effect.",float64,43797,0,-87.58720289344274,89.21126329898834
E_early,mm,Total modeled evaporation E. Signed flux integrated from reference SOS minus 16 days to reference POS.,float64,43797,0,40.72065976267311,326.55437747627184
